"Year","Country","Rate","Metavoli"
"2008","New Zealand","1.3984","0.04060000000000019"
"2009","New Zealand","1.5728","0.1743999999999999"
"2010","New Zealand","1.3858","-0.18700000000000006"
"2011","New Zealand","1.2626","-0.12319999999999998"
"2012","New Zealand","1.2338","-0.028799999999999937"
"2013","New Zealand","1.2189","-0.014899999999999913"
"2014","New Zealand","1.2029","-0.016000000000000014"
"2015","New Zealand","1.4284","0.2254999999999998"
"2016","New Zealand","1.4335","0.0051000000000001044"
"1971","Norway","7.0222","  "
"1972","Norway","6.5875","-0.4346999999999994"
"1973","Norway","5.7535","-0.8340000000000005"
"1974","Norway","5.5255","-0.22799999999999976"
"1975","Norway","5.2283","-0.29720000000000013"
"1976","Norway","5.459","0.23069999999999968"
"1977","Norway","5.324","-0.1349999999999998"
"1978","Norway","5.2467","-0.07730000000000015"
"1979","Norway","5.0651","-0.18159999999999954"
"1980","Norway","4.9382","-0.1269"
"1981","Norway","5.7431","0.8049"
"1982","Norway","6.4568","0.7137000000000002"
"1983","Norway","7.3013","0.8445"
"1984","Norway","8.1597","0.8584000000000005"
"1985","Norway","8.5934","0.4337"
"1986","Norway","7.3985","-1.1949000000000005"
"1987","Norway","6.7409","-0.6576000000000004"
"1988","Norway","6.5243","-0.21659999999999968"
"1989","Norway","6.9131","0.3887999999999998"
"1990","Norway","6.2621","-0.6509999999999998"
"1991","Norway","6.4912","0.22909999999999986"
"1992","Norway","6.2142","-0.27700000000000014"
"1993","Norway","7.1009","0.8867000000000003"
"1994","Norway","7.0553","-0.04560000000000031"
"1995","Norway","6.3355","-0.7198000000000002"
"1996","Norway","6.4594","0.1238999999999999"
"1997","Norway","7.0857","0.6263000000000005"
"1998","Norway","7.5521","0.46640000000000015"
"1999","Norway","7.8071","0.2549999999999999"
"2000","Norway","8.8131","1.0060000000000002"
"2001","Norway","8.9964","0.18329999999999913"
"2002","Norway","7.9839","-1.0124999999999993"
"2003","Norway","7.0803","-0.9036"
"2004","Norway","6.7399","-0.3404000000000007"
"2005","Norway","6.4412","-0.2986999999999993"
"2006","Norway","6.4095","-0.03169999999999984"
"2007","Norway","5.8557","-0.5538000000000007"
"2008","Norway","5.6365","-0.21919999999999984"
"2009","Norway","6.2908","0.6543000000000001"
"2010","Norway","6.0451","-0.24570000000000025"
"2011","Norway","5.6022","-0.44289999999999985"
"2012","Norway","5.8181","0.21590000000000042"
"2013","Norway","5.8772","0.05909999999999993"
"2014","Norway","6.2969","0.41969999999999974"
"2015","Norway","8.0681","1.7711999999999994"
"2016","Norway","8.3936","0.3254999999999999"
"1981","Singapore","2.1138","  "
"1982","Singapore","2.1406","0.026800000000000157"
"1983","Singapore","2.1137","-0.026899999999999924"
"1984","Singapore","2.1327","0.018999999999999684"
"1985","Singapore","2.2009","0.06820000000000004"
"1986","Singapore","2.1783","-0.02259999999999973"
"1987","Singapore","2.1059","-0.07240000000000002"
"1988","Singapore","2.0133","-0.09260000000000002"
"1989","Singapore","1.9511","-0.06220000000000003"
"1990","Singapore","1.8134","-0.13770000000000016"
"1991","Singapore","1.7283","-0.08509999999999995"
"1992","Singapore","1.6294","-0.09889999999999999"
"1993","Singapore","1.6158","-0.013600000000000056"
"1994","Singapore","1.5275","-0.08829999999999982"
"1995","Singapore","1.4171","-0.11040000000000005"
"1996","Singapore","1.41","-0.007100000000000106"
"1997","Singapore","1.4857","0.0757000000000001"
"1998","Singapore","1.6722","0.1864999999999999"
"1999","Singapore","1.6951","0.022900000000000142"
"2000","Singapore","1.725","0.029900000000000038"
"2001","Singapore","1.793","0.06799999999999984"
"2002","Singapore","1.7908","-0.0021999999999999797"
"2003","Singapore","1.7429","-0.047900000000000054"
"2004","Singapore","1.6902","-0.05269999999999997"
"2005","Singapore","1.6639","-0.02629999999999999"
"2006","Singapore","1.5882","-0.07569999999999988"
"2007","Singapore","1.5065","-0.0817000000000001"
"2008","Singapore","1.414","-0.09250000000000003"
"2009","Singapore","1.4543","0.0403"
"2010","Singapore","1.3629","-0.09139999999999993"
"2011","Singapore","1.2565","-0.10640000000000005"
"2012","Singapore","1.2492","-0.007299999999999862"
"2013","Singapore","1.2511","0.0019000000000000128"
"2014","Singapore","1.2665","0.015399999999999858"
"2015","Singapore","1.3746","0.10810000000000008"
"2016","Singapore","1.38","0.005399999999999849"
"1971","South Africa","0.7129","  "
"1972","South Africa","0.7732","0.06030000000000002"
"1973","South Africa","0.6964","-0.07679999999999998"
"1974","South Africa","0.6806","-0.015800000000000036"
"1975","South Africa","0.7408","0.06020000000000003"
"1976","South Africa","0.8707","0.12990000000000002"
"1977","South Africa","0.8697","-0.0010000000000000009"
"1978","South Africa","0.8695","-1.9999999999997797E-4"
"1979","South Africa","0.8424","-0.027100000000000013"
"1980","South Africa","0.7796","-0.06280000000000008"
"1981","South Africa","0.8787","0.09910000000000008"
"1982","South Africa","1.0876","0.20889999999999986"
"1983","South Africa","1.1146","0.027000000000000135"
"1984","South Africa","1.4761","0.36149999999999993"
"1985","South Africa","2.2344","0.7583"
"1986","South Africa","2.2919","0.05750000000000011"
"1987","South Africa","2.0385","-0.25340000000000007"
"1988","South Africa","2.277","0.23850000000000016"
"1989","South Africa","2.6243","0.3472999999999997"
"1990","South Africa","2.5885","-0.035800000000000054"
"1991","South Africa","2.7633","0.1748000000000003"
"1992","South Africa","2.8524","0.08909999999999973"
"1993","South Africa","3.2721","0.4197000000000002"
"1994","South Africa","3.5526","0.28049999999999997"
"1995","South Africa","3.6284","0.07580000000000009"
"1996","South Africa","4.3011","0.6726999999999999"
"1997","South Africa","4.6072","0.3060999999999998"
"1998","South Africa","5.5417","0.9344999999999999"
"1999","South Africa","6.1191","0.5774000000000008"
"2000","South Africa","6.9468","0.8276999999999992"
"2001","South Africa","8.6093","1.6624999999999996"
"2002","South Africa","10.5176","1.9083000000000006"
"2003","South Africa","7.555","-2.9626"
"2004","South Africa","6.4402","-1.1147999999999998"
"2005","South Africa","6.3606","-0.07960000000000012"
"2006","South Africa","6.7668","0.4062000000000001"
"2007","South Africa","7.0477","0.2808999999999999"
"2008","South Africa","8.248","1.2002999999999995"
"2009","South Africa","8.4117","0.1637000000000004"
"2010","South Africa","7.3159","-1.0957999999999997"
"2011","South Africa","7.251","-0.06489999999999974"
"2012","South Africa","8.2014","0.9503999999999992"
"2013","South Africa","9.6436","1.4421999999999997"
"2014","South Africa","10.842","1.1984000000000012"
"2015","South Africa","12.7645","1.9224999999999994"
"2016","South Africa","14.6821","1.9176000000000002"
"1981","South Korea","686.07","  "
"1982","South Korea","731.94","45.870000000000005"
"1983","South Korea","776.05","44.1099999999999"
"1984","South Korea","807.93","31.879999999999995"
"1985","South Korea","872.45","64.5200000000001"
"1986","South Korea","884.6","12.149999999999977"
"1987","South Korea","826.16","-58.440000000000055"
"1988","South Korea","734.52","-91.63999999999999"
"1989","South Korea","674.13","-60.389999999999986"
"1990","South Korea","710.64","36.50999999999999"
"1991","South Korea","736.73","26.090000000000032"
"1992","South Korea","784.66","47.92999999999995"
"1993","South Korea","805.75","21.090000000000032"
"1994","South Korea","806.93","1.17999999999995"
"1995","South Korea","772.69","-34.239999999999895"
"1996","South Korea","805.0","32.309999999999945"
"1997","South Korea","953.19","148.19000000000005"
